Sat May 09 18:04:57 +0000 2015,@drose My son wrote you a thank you note for hitting last night's shot.  I thank you too! #Bulls #SeeRed http://t.co/xsTrgJcmnN
Sat May 09 18:04:24 +0000 2015,RT @NBAMemes: Derrick Rose when he hit the GAME-WINNING shot on the Cleveland Cavaliers. #Bulls http://t.co/PK6VSAIxw1
Sat May 09 18:04:14 +0000 2015,My friend Sam nailed the Derek Rose winner with this image. #ChappellesShow #Bulls http://t.co/FgjOlobzAY
Sat May 09 18:04:07 +0000 2015,RT @GuyHutSports: Watch @Cleatscleavage In Pasties Recreate Derrick Rose Winner  http://t.co/QU3FxPonYx #Bulls #NBAPlayoffs #Cavs http://t.…
Sat May 09 18:04:07 +0000 2015,RT @BasketVine_TR: Derrick Rose dan game winner ! #Bulls #nba #Playoffs https://t.co/Rfs7t2jZYA
Sat May 09 18:03:57 +0000 2015,RT @NBAMemes: Derrick Rose when he hit the GAME-WINNING shot on the Cleveland Cavaliers. #Bulls http://t.co/PK6VSAIxw1
Sat May 09 18:03:53 +0000 2015,RT @NBAMemes: Derrick Rose's GAME-WINNER had LeBron James &amp; Cavs Nation like...//#Bulls http://t.co/FZQGubFV2I
Sat May 09 18:03:44 +0000 2015,RT @bbdoolittle: Here's a look how the various combinations of #Bulls bigs fared in Friday's Game 3 win over the #Cavs. #neekohlah http://t…
Sat May 09 18:03:02 +0000 2015,RT @FREDOSANTANA300: don't jump on our dick when we win the championship #BULLS
Sat May 09 18:02:59 +0000 2015,🏀 #TheDayParty IS ON ANOTHER LEVEL!!! THIS SUNDAY!!! Along w/#MothersDay &amp; Game 4: #Bulls vs. #Cavs,… https://t.co/rZBCGM2j0W
Sat May 09 18:02:56 +0000 2015,RT @FREDOSANTANA300: don't jump on our dick when we win the championship #BULLS
Sat May 09 18:02:55 +0000 2015,Ion give a fuck wat yall say.... Rose finna take Lebron ass out!!! #Bulls
Sat May 09 18:02:47 +0000 2015,🏀 #TheDayParty IS ON ANOTHER LEVEL!!! THIS SUNDAY!!! Along w/#MothersDay &amp; Game 4: #Bulls vs. #Cavs,… https://t.co/COTuioSYZg
Sat May 09 18:02:40 +0000 2015,RT @michaeltomaso: Derrick Rose is back. #Bulls http://t.co/Mm0s051glD
Sat May 09 18:02:37 +0000 2015,LeBron defends Irving after Cavs defeat http://t.co/Cc21NkEohd #Bulls
